Date,Open,High,Low,Close,Quantity,PERatio
20120412,35.10,35.25,34.65,35.20,10229919,15.11
20120413,35.40,35.80,35.00,35.80,9458071,15.36
20120416,35.60,35.75,35.25,35.60,3067578,15.28
20120417,35.75,35.80,35.10,35.10,6841441,15.06
20120418,35.80,35.80,35.20,35.80,8149318,15.36
20120419,35.80,36.10,35.60,36.00,8541001,15.45
20120420,36.10,36.10,35.30,35.40,4507171,15.19
20120423,35.50,35.50,35.00,35.10,3934855,15.06
20120424,34.85,35.20,34.85,34.90,5658552,14.98
20120425,34.80,34.80,34.50,34.50,8463645,14.81
20120426,34.85,34.85,34.00,34.30,7327894,14.72
20120427,34.30,34.50,33.75,33.85,9551879,14.53
20120430,34.15,34.85,33.80,34.85,5861262,14.96
20120502,34.85,35.60,34.85,35.55,12505123,15.26
20120503,35.55,35.90,35.45,35.65,7243671,15.04
20120504,34.85,36.00,34.85,35.95,10135016,15.17
20120507,35.70,35.70,35.05,35.35,6669322,14.92
20120508,35.65,35.65,35.00,35.05,5312423,14.79
20120509,34.80,35.10,34.60,35.00,5439901,14.77
20120510,34.95,35.15,34.65,35.05,8205202,14.79
20120511,35.05,35.05,34.30,34.45,8371346,14.54
20120514,34.30,34.45,34.00,34.00,6151107,14.35
20120515,34.00,34.00,32.75,32.75,25065908,13.82
20120516,32.75,32.75,32.30,32.30,13820255,13.63
20120517,32.80,32.80,32.35,32.65,8509451,13.78
20120518,32.15,32.15,31.60,32.00,14894306,13.5
20120521,32.00,32.50,31.90,32.45,3627820,13.69
20120522,32.75,32.75,32.50,32.70,3691310,13.8
20120523,32.30,33.00,31.90,32.90,6145223,13.88
20120524,32.70,32.75,32.40,32.70,6782289,13.8
20120525,32.55,32.95,32.50,32.50,3865901,13.71
20120528,32.35,32.75,32.35,32.55,4002190,13.73
20120529,32.95,34.45,32.75,34.20,9138590,14.43
20120530,34.00,34.70,33.25,34.65,14758245,14.62
20120531,34.00,34.70,33.75,33.75,18873137,14.24
20120601,33.60,34.10,33.30,33.65,6551999,14.2
20120604,32.90,33.80,32.80,33.15,7350338,13.99
20120605,33.35,33.60,33.05,33.20,6673900,14.01
20120606,33.55,34.20,33.35,34.15,6313652,14.41
20120607,34.60,34.65,34.30,34.50,4563706,14.56
20120608,34.50,34.60,33.90,34.50,6174288,14.56
20120611,34.50,34.95,34.15,34.45,8290287,14.54
20120612,33.90,34.45,33.75,34.40,8241000,14.51
20120613,34.55,34.60,34.00,34.00,6984948,14.35
20120614,33.85,34.50,33.85,34.00,6023911,14.35
20120615,34.00,34.60,34.00,34.60,8413918,14.6
20120618,35.00,35.60,35.00,35.35,8734964,14.92
20120619,35.35,35.40,34.95,35.30,4543903,14.89
20120620,35.50,35.70,35.10,35.45,6183411,14.96
20120621,35.40,35.50,35.00,35.00,2960340,14.77
20120622,34.75,34.90,34.50,34.60,3567534,14.6
20120625,35.10,35.10,34.15,34.25,4165091,14.45
20120626,34.00,34.65,34.00,34.65,6303302,14.62
20120627,34.65,35.10,34.30,34.90,4139222,14.73
20120628,35.00,35.30,34.85,35.20,7589802,14.85
20120629,34.90,35.35,34.90,35.35,7372756,14.92
20120702,34.10,35.70,34.10,35.10,9260980,14.81
20120703,35.60,36.25,35.40,36.15,14937161,15.25
20120704,36.25,36.30,36.05,36.20,7013417,15.27
20120705,35.70,35.90,35.40,35.90,8502914,15.15
20120706,36.00,36.30,35.80,36.30,8956752,15.32
20130128,39.10,39.55,38.90,39.25,7214023,18.09
20130129,39.40,39.60,39.30,39.60,6611802,18.25
20130130,39.60,39.80,39.20,39.80,8017680,18.34
20130131,39.80,40.00,39.75,39.90,7139650,18.39
20130201,40.15,40.20,39.85,40.05,6416577,18.46
20130204,40.05,40.60,39.90,40.45,11539633,18.64
20130205,40.45,40.45,39.65,39.75,12299585,18.32
20130206,40.20,40.20,39.15,39.15,9161149,18.04
20130218,40.50,40.80,38.80,38.95,12920368,17.95
20130219,39.45,39.45,38.70,38.95,9125588,17.95
20130220,38.95,39.00,38.10,38.25,19701162,17.63
20130221,38.35,38.45,37.40,37.40,20419289,17.24
20130222,37.90,38.55,37.20,38.25,13082886,17.63
20130223,38.50,38.50,37.95,38.45,4043682,17.72
20130225,38.45,38.60,38.20,38.20,8422869,17.6
20130226,38.00,38.20,37.80,37.85,6240627,17.44
20130227,37.90,38.40,37.70,38.05,8088396,17.53
20130301,38.35,38.90,38.15,38.85,8099416,17.9
20130304,38.85,38.85,38.10,38.60,11140334,17.79
20130305,38.50,38.70,38.05,38.60,6487640,17.79
20130306,38.60,38.75,38.40,38.60,6429125,17.79
20130307,38.40,38.50,38.30,38.30,4782486,17.65
20130308,38.30,39.05,38.30,38.95,4710117,17.95
20130311,38.80,38.85,38.20,38.30,5671625,17.65
20130312,38.20,38.40,37.85,38.15,4543336,17.58
20130313,38.50,38.65,38.15,38.50,3309613,17.74
20130314,38.15,38.15,37.30,37.40,11637149,17.24
20130315,37.60,37.70,36.65,36.65,10128955,16.89
20130318,36.65,36.65,36.05,36.20,11454314,16.68
20130319,36.50,37.05,36.25,36.75,7144924,16.94
20130320,36.75,36.90,36.35,36.50,9292012,16.82
20130321,36.50,36.90,36.35,36.50,9104464,16.82
20130322,36.40,36.60,36.40,36.45,7471752,16.80
20130325,36.50,36.65,36.40,36.45,4245623,16.80
20130326,36.50,37.15,36.45,36.85,5990336,16.98
20130327,36.65,37.10,36.65,37.10,6166657,17.10
20130328,37.40,37.40,36.80,36.80,4673770,16.96
20130329,37.50,37.55,36.90,37.50,3556536,17.28
20130401,37.50,37.65,37.45,37.55,3385120,17.30
20130402,37.45,38.10,37.20,37.85,5184772,18.11
20130403,38.00,38.40,37.85,38.40,4703491,18.37
20130408,37.90,38.05,37.50,37.50,7518154,17.94
20130409,37.50,38.05,37.40,37.75,6662303,18.06
20130410,38.00,38.25,37.50,37.75,6664799,18.06
20130411,37.75,38.15,37.35,38.00,6110238,18.18
20130412,38.00,38.40,37.75,38.00,6048169,18.18
20130415,38.00,38.40,38.00,38.40,5802736,18.37
20130416,37.70,38.50,37.70,38.45,5424230,18.40
